step,max_abs_phase_increment_over_pi,mean_abs_phase_increment_over_pi,max_rat_err_q_le_256,median_rat_err_q_le_256,smallest_global_q_tol_1e10,best_denominators,dtheta_edge_0_over_pi,dtheta_edge_1_over_pi,dtheta_edge_2_over_pi,dtheta_edge_3_over_pi,dtheta_edge_4_over_pi,dtheta_edge_5_over_pi,dtheta_edge_6_over_pi,dtheta_edge_7_over_pi,dtheta_edge_8_over_pi,dtheta_edge_9_over_pi
1930,0.004775828460295601,0.004775828460038796,8.860535545642846e-06,8.860535156343143e-06,,209,0.004775828459969064,0.004775828459909694,0.004775828460118621,0.004775828460198205,0.004775828460080031,0.004775828459669668,0.0047758284600415805,0.004775828460076355,0.004775828460029142,0.004775828460295601
1931,0.004775828460296591,0.00477582846003874,8.860535545218706e-06,8.860535157685819e-06,,209,0.004775828459970478,0.004775828459909411,0.004775828460118339,0.0047758284601965096,0.004775828460080031,0.004775828459670092,0.004775828460040168,0.004775828460075082,0.004775828460030696,0.004775828460296591
1932,0.004775828460297581,0.004775828460038782,8.860535544653186e-06,8.860535158816425e-06,,209,0.00477582845997175,0.004775828459909411,0.0047758284601179144,0.004775828460194813,0.004775828460080031,0.004775828459670658,0.004775828460038895,0.004775828460074094,0.004775828460032675,0.004775828460297581
1933,0.004775828460298852,0.00477582846003881,8.860535543946287e-06,8.860535160300914e-06,,209,0.004775828459973164,0.004775828459909411,0.004775828460117773,0.0047758284601931164,0.004775828460079748,0.0047758284596713645,0.004775828460037481,0.004775828460072538,0.004775828460034655,0.004775828460298852
1934,0.004775828460299559,0.004775828460038782,8.860535543380767e-06,8.860535161431954e-06,,209,0.004775828459974577,0.004775828459909694,0.00477582846011749,0.004775828460191279,0.0047758284600796065,0.00477582845967193,0.004775828460035926,0.004775828460071407,0.00477582846003635,0.004775828460299559
1935,0.0047758284603008315,0.004775828460038782,8.860535542815247e-06,8.860535161219884e-06,,209,0.004775828459975708,0.004775828459909835,0.004775828460117066,0.004775828460189724,0.004775828460079465,0.004775828459672496,0.004775828460034513,0.004775828460069994,0.004775828460038188,0.0047758284603008315
1936,0.004775828460301821,0.004775828460038796,8.860535542249727e-06,8.86053516093669e-06,,209,0.00477582845997698,0.004775828459910259,0.004775828460116783,0.004775828460187745,0.004775828460079465,0.004775828459673061,0.0047758284600330995,0.004775828460068581,0.004775828460040168,0.004775828460301821
1937,0.004775828460302811,0.004775828460038782,8.860535541685075e-06,8.860535160795744e-06,,209,0.004775828459978253,0.004775828459910401,0.004775828460116783,0.004775828460186332,0.0047758284600789,0.004775828459673626,0.004775828460031686,0.0047758284600670255,0.004775828460042005,0.004775828460302811
1938,0.0047758284603038,0.00477582846003881,8.860535541119555e-06,8.860535160442294e-06,,209,0.004775828459979525,0.004775828459910542,0.004775828460116359,0.004775828460184635,0.004775828460079041,0.004775828459674191,0.004775828460030272,0.004775828460065894,0.004775828460043843,0.0047758284603038
1939,0.004775828460304931,0.004775828460038838,8.860535540271275e-06,8.860535160300914e-06,,209,0.004775828459980797,0.0047758284599106835,0.004775828460116501,0.00477582846018308,0.004775828460078617,0.0047758284596750395,0.004775828460028718,0.0047758284600640565,0.004775828460045963,0.004775828460304931
