th_p,fa,fb,nb0,offset,pred_offset,offset_err,M,pred_M,M_err,delta,signflip
0.1,0.8,0.8,1.0,0.019866933079506065,0.019866933079506103,3.8163916471489756e-17,0.07946773231802594,0.07946773231802469,1.2490009027033011e-15,1.166858164825005e-14,True
0.1,0.8,1.0,1.0,2.2490555240291764e-15,0.0,2.2490555240291764e-15,0.0888476257404289,0.08884762574043006,1.1657341758564144e-15,2.642883278559272e-15,True
0.1,1.0,0.0,1.0,3.1086244689504367e-15,0.0,3.1086244689504367e-15,5.869486729464316e-31,0.0,5.869486729464316e-31,-3.141592653589793,False
0.1,1.0,0.2,1.0,1.2359235425947194e-15,0.0,1.2359235425947194e-15,0.044423812870212874,0.04442381287021503,2.157996004115148e-15,3.1645765216511408e-15,True
0.1,1.0,0.4,1.0,1.7217518404566364e-15,0.0,1.7217518404566364e-15,0.06282475865338324,0.06282475865338255,6.938893903907228e-16,-3.441597521852809e-14,True
0.1,1.0,0.6,1.0,5.856963092278062e-17,0.0,5.856963092278062e-17,0.07694430095714395,0.07694430095714463,6.800116025829084e-16,-3.245702707636415e-15,True
0.1,1.0,0.8,1.0,2.4000943752565256e-16,0.0,2.4000943752565256e-16,0.08884762574042936,0.08884762574043006,7.077671781985373e-16,2.227629571499914e-16,True
0.1,1.0,1.0,1.0,2.3899915525168234e-15,0.0,2.3899915525168234e-15,0.09933466539753019,0.09933466539753084,6.522560269672795e-16,7.058159156091867e-15,True
0.2,0.0,0.0,1.0,0.19470917115432937,0.19470917115432512,4.246603069191224e-15,1.8321368924333685e-17,0.0,1.8321368924333685e-17,-3.141592653589793,False
0.2,0.0,0.2,1.0,0.17415317701748464,0.17415317701748487,2.220446049250313e-16,1.2217452449315085e-16,0.0,1.2217452449315085e-16,-0.2931719926469061,False
0.2,0.0,0.4,1.0,0.1508210754469115,0.15082107544691015,1.3600232051658168e-15,1.6134824697933978e-15,0.0,1.6134824697933978e-15,-1.2791882569921078,False
0.2,0.0,0.6,1.0,0.12314489243424602,0.12314489243424476,1.2628786905111156e-15,3.999353528475499e-15,0.0,3.999353528475499e-15,0.044035760644149075,False
0.2,0.0,0.8,1.0,0.0870765885087424,0.08707658850874243,2.7755575615628914e-17,2.0606005888762163e-15,0.0,2.0606005888762163e-15,0.9406595693041918,False
0.2,0.0,1.0,1.0,2.0122792321330962e-15,0.0,2.0122792321330962e-15,4.978510601916984e-16,0.0,4.978510601916984e-16,2.5810885029784463,False
0.2,0.2,0.0,1.0,0.17415317701749045,0.17415317701748487,5.578870698741412e-15,6.4843513207045824e-18,0.0,6.4843513207045824e-18,-3.141592653589793,False
0.2,0.2,0.2,1.0,0.15576733692346154,0.15576733692346012,1.4155343563970746e-15,0.038941834230867355,0.038941834230865155,2.1996293675385914e-15,-1.7549427648323758e-14,False
0.2,0.2,0.4,1.0,0.13489847085557108,0.13489847085556625,4.829470157119431e-15,0.055072070112974186,0.055072070112974346,1.5959455978986625e-16,-6.58882181412049e-15,False
0.2,0.2,0.6,1.0,0.11014414022595137,0.11014414022594836,3.011479954295737e-15,0.06744923542778672,0.06744923542778333,3.3861802251067274e-15,-8.256481035771905e-15,False
0.2,0.2,0.8,1.0,0.07788366846173042,0.07788366846173005,3.7470027081099033e-16,0.07788366846172785,0.07788366846173031,2.456368441983159e-15,-3.62019098882744e-15,False
0.2,0.2,1.0,1.0,2.474941519909253e-15,0.0,2.474941519909253e-15,0.08707658850874173,0.0870765885087427,9.71445146547012e-16,-6.69500631935808e-15,True
0.2,0.4,0.0,1.0,0.15082107544691342,0.15082107544691015,3.2751579226442118e-15,2.4853424612205414e-17,0.0,2.4853424612205414e-17,-3.141592653589793,False
0.2,0.4,0.2,1.0,0.13489847085556717,0.13489847085556625,9.159339953157541e-16,0.055072070112973166,0.055072070112974346,1.1796119636642288e-15,1.0274211995482372e-14,False
0.2,0.4,0.4,1.0,0.11682550269259602,0.11682550269259506,9.575673587391975e-16,0.07788366846172748,0.07788366846173031,2.831068712794149e-15,-4.7773334065680504e-15,False
0.2,0.4,0.6,1.0,0.09538762351366813,0.09538762351366672,1.4016565685892601e-15,0.09538762351366911,0.09538762351366703,2.0816681711721685e-15,7.0214520497065565e-15,True
0.2,0.4,0.8,1.0,0.06744923542778344,0.06744923542778311,3.3306690738754696e-16,0.11014414022595052,0.11014414022594869,1.8318679906315083e-15,8.686555263479518e-15,True
0.2,0.4,1.0,1.0,1.5166053852733045e-15,0.0,1.5166053852733045e-15,0.12314489243424391,0.12314489243424515,1.2351231148954867e-15,6.7602504257729536e-15,True
0.2,0.6,0.0,1.0,0.12314489243424682,0.12314489243424476,2.067790383364354e-15,2.0039527766921564e-17,0.0,2.0039527766921564e-17,-3.141592653589793,False
0.2,0.6,0.2,1.0,0.11014414022594951,0.11014414022594836,1.1518563880486e-15,0.06744923542778349,0.06744923542778333,1.5265566588595902e-16,-5.18716375916633e-16,False
0.2,0.6,0.4,1.0,0.09538762351367007,0.09538762351366672,3.344546861683284e-15,0.09538762351366738,0.09538762351366703,3.469446951953614e-16,-1.469586135962784e-14,False
0.2,0.6,0.6,1.0,0.07788366846173055,0.07788366846173006,4.85722573273506e-16,0.11682550269259698,0.11682550269259544,1.5404344466674047e-15,7.458450568537094e-15,True
