step,time,seed,epsilon,baseline_norm,perturbed_norm,total_difference,transverse_difference,normalized_transverse_amplification,local_transverse_growth_rate,renormalization_factor,active_subspace_dimension,projection_closure_error,norm_error,conservation_error
9350,9350,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8106166478e-08,1.4696351801e-08,1.4696351801e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,1.1102230246e-15
9400,9400,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8694443878e-08,1.4295601264e-08,1.4295601264e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,8.8817841970e-16
9450,9450,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8749969175e-08,1.4742248781e-08,1.4742248781e+00,nan,nan,4,0.0000000000e+00,4.4408920985e-16,7.7715611724e-16
9500,9500,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8900304161e-08,1.4872483220e-08,1.4872483220e+00,nan,nan,4,0.0000000000e+00,4.4408920985e-16,6.6613381478e-16
9550,9550,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8650252810e-08,1.4401132346e-08,1.4401132346e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,7.7715611724e-16
9600,9600,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.7807751232e-08,1.3185213571e-08,1.3185213571e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,7.7715611724e-16
9650,9650,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.7308820995e-08,1.2747873763e-08,1.2747873763e+00,nan,nan,4,0.0000000000e+00,3.3306690739e-16,7.7715611724e-16
9667,9667,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.7115740298e-08,1.2964531607e-08,1.2964531607e+00,5.1926439570e-04,1.2964531607e+00,4,0.0000000000e+00,2.2204460493e-16,8.8817841970e-16
9700,9700,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1061866828e-08,9.2881181843e-09,9.2881181843e-01,nan,nan,4,0.0000000000e+00,0.0000000000e+00,8.8817841970e-16
9750,9750,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.6316917284e-08,1.1626983433e-08,1.1626983433e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,5.5511151231e-16
9800,9800,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.2728088912e-08,1.7990987908e-08,1.7990987908e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,5.5511151231e-16
9850,9850,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.9632301470e-08,2.3088163822e-08,2.3088163822e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,5.5511151231e-16
9900,9900,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.6747486104e-08,2.8013817518e-08,2.8013817518e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,4.4408920985e-16
9950,9950,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.2513091827e-08,3.3727639051e-08,3.3727639051e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,3.3306690739e-16
10000,10000,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.7877020141e-08,3.8345723179e-08,3.8345723179e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,4.4408920985e-16
10050,10050,0,1e-08,1.0000000000e+00,1.0000000000e+00,5.3608830878e-08,4.2388944895e-08,4.2388944895e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,4.4408920985e-16
10100,10100,0,1e-08,1.0000000000e+00,1.0000000000e+00,5.8244412674e-08,4.7152887264e-08,4.7152887264e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,6.6613381478e-16
10150,10150,0,1e-08,1.0000000000e+00,1.0000000000e+00,6.2847532485e-08,5.1888332633e-08,5.1888332633e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,6.6613381478e-16
