N,seed,parent_ok,M,parent_residual,sigma_max,sigma_from_flow,rel_equilibrium_defect,max_Re,a_flow_per_tau,n_unstable,unstable_freq,n_zero_freq,n_distinct_freq,freq_min,freq_max,freqs
16,1,True,120,1.3850253961569252e-11,0.45438272888371883,0.45438272888371883,3.0481469734082684e-11,6.813916529165367e-07,1.3627833058330734e-06,0,,192,24,8.961702797017253e-07,0.9087654577683429,0.000001;0.002795;0.004705;0.006947;0.015463;0.019744;0.026003;0.044994;0.357854;0.372066;0.387841;0.392970;0.400801;0.404025;0.406795;0.412056;0.416289;0.420063;0.421479;0.422028;0.423206;0.423538;0.423883;0.908765
16,2,True,120,7.163513242075953e-12,0.45851304766348067,0.45851304766348044,1.5623355768802656e-11,6.466196590760744e-07,1.2932393181521488e-06,0,,192,24,1.5603215905253865e-06,0.9170260953286333,0.000002;0.004279;0.006605;0.009659;0.010970;0.012217;0.020841;0.034881;0.373369;0.390596;0.396142;0.398213;0.402290;0.404436;0.406582;0.410702;0.416834;0.419692;0.421124;0.424141;0.426222;0.426804;0.427683;0.917026
16,3,True,120,1.3109646603992084e-13,0.4623187155524645,0.4623187155524646,2.835629122135261e-13,2.8718686356766456e-07,5.743737271353291e-07,0,,190,24,6.60778525732419e-07,0.924637431105547,0.000001;0.003010;0.005379;0.009032;0.012087;0.015992;0.022861;0.038242;0.374161;0.390236;0.395006;0.401019;0.403151;0.409320;0.414374;0.416783;0.421000;0.424015;0.426830;0.427175;0.430039;0.430296;0.431233;0.924637
16,4,True,120,8.286732037915493e-13,0.45059035574921336,0.4505903557492131,1.839082805919891e-12,9.32114618736381e-07,1.864229237472762e-06,0,,192,24,5.429238603672182e-07,0.9011807114989221,0.000001;0.001653;0.005104;0.006708;0.011205;0.018393;0.034571;0.040043;0.354764;0.366466;0.381204;0.393693;0.393868;0.400405;0.407169;0.410432;0.413325;0.416194;0.417400;0.418612;0.419681;0.420111;0.420407;0.901181
17,0,True,136,8.071730735810368e-12,0.4640000728208532,0.4640000728208531,1.739596872626762e-11,1.802738179556556e-07,3.605476359113112e-07,0,,222,25,0.00017760448111798954,0.9280001456418343,0.000178;0.001343;0.003430;0.004562;0.007065;0.014735;0.025426;0.036827;0.374349;0.380406;0.393794;0.402489;0.406487;0.416244;0.421092;0.426682;0.428474;0.429524;0.431648;0.432649;0.433952;0.434334;0.434823;0.434907;0.928000
17,1,True,136,6.039875088467699e-12,0.4584746470546138,0.4584746470546143,1.3173847289578262e-11,1.5015340767037043e-09,3.0030681534074087e-09,0,,220,26,8.455785311210423e-07,0.9169492941106798,0.000001;0.000613;0.001923;0.003196;0.006409;0.010793;0.016588;0.026887;0.031721;0.368855;0.388894;0.392560;0.396672;0.401977;0.406025;0.414918;0.417319;0.423032;0.425088;0.425197;0.427180;0.428188;0.428515;0.429395;0.429689;0.916949
17,2,True,136,3.297551579692712e-12,0.4613100627308032,0.4613100627308032,7.148232611871188e-12,8.25016375750528e-10,1.650032751501056e-09,0,,220,26,7.927028352586738e-07,0.9226201254631253,0.000001;0.000139;0.002059;0.003605;0.005970;0.009769;0.015104;0.024070;0.034072;0.372336;0.382929;0.391373;0.404989;0.409317;0.417686;0.418853;0.419483;0.421472;0.425905;0.427041;0.429164;0.429865;0.430952;0.431050;0.431999;0.922620
17,3,True,136,7.432895553710827e-12,0.4654161458295121,0.4654161458295126,1.5970429101194823e-11,1.3811329187090917e-09,2.7622658374181835e-09,0,,220,26,5.11254243092283e-07,0.9308322916591704,0.000001;0.000937;0.001924;0.004440;0.005920;0.010110;0.011669;0.018328;0.022696;0.375321;0.399263;0.399994;0.406738;0.408185;0.414029;0.417488;0.422103;0.426580;0.429961;0.430896;0.432175;0.435041;0.435593;0.435822;0.436317;0.930832
17,4,True,136,7.859424622209956e-14,0.45895959952041787,0.45895959952041776,1.7124464394248076e-13,8.747258154108074e-10,1.7494516308216147e-09,0,,220,26,5.971552643434276e-07,0.9179191990427483,0.000001;0.001875;0.002569;0.006150;0.009332;0.013898;0.019576;0.025171;0.030474;0.377491;0.389411;0.396273;0.398138;0.400744;0.409987;0.412294;0.413367;0.419990;0.424161;0.426167;0.426762;0.428348;0.428851;0.429461;0.430103;0.917919
18,0,True,153,2.708388710011751e-13,0.46743689254414134,0.4674368925441417,5.794128192990276e-13,4.3547286324713587e-10,8.709457264942717e-10,0,,250,27,3.7161339920557656e-07,0.9348737850893577,0.000000;0.000619;0.001287;0.004275;0.006287;0.009869;0.017864;0.028749;0.042624;0.373153;0.382307;0.402238;0.410499;0.422136;0.422973;0.427271;0.427723;0.431950;0.434611;0.435118;0.436854;0.437111;0.438322;0.438727;0.439096;0.439778;0.934874
18,1,True,153,7.430797337563003e-15,0.45853555188687944,0.45853555188687894,1.6206577704749405e-14,2.3314632496272e-08,4.6629264992544e-08,0,,250,27,4.26165097734967e-08,0.917071103773826,0.000000;0.000925;0.004461;0.006071;0.008674;0.013276;0.017151;0.021584;0.041388;0.372375;0.387432;0.396740;0.403050;0.409223;0.414106;0.414353;0.418908;0.422482;0.423416;0.424835;0.427074;0.428630;0.429856;0.430404;0.430896;0.431256;0.917071
18,2,True,153,1.0347184568751543e-11,0.46632112185735275,0.46632112185735264,2.2188967308859145e-11,9.387821893634743e-07,1.8775643787269486e-06,0,,252,27,9.137688876734721e-07,0.9326422437148968,0.000001;0.001565;0.003928;0.006598;0.008234;0.011074;0.014613;0.025030;0.034738;0.386032;0.395336;0.401836;0.403406;0.413424;0.419683;0.422850;0.425111;0.426196;0.433857;0.434026;0.434714;0.436615;0.437360;0.438242;0.438465;0.438781;0.932642
