N,seed,M,parent_residual,sigma_max,phi,relative_equilibrium_defect,mu_G_max,lambda_G,lambda_f_pred,n_unstable,mu_top4,lambda_DF_max
19,0,171,2.1926608886875774e-11,0.4673863539936486,0.023682863485396197,1.1109848506236348e-12,1.0001541622239634,0.00015415034218884394,0.0003083006843776879,27,"1.000154, 1.000154, 1.000153, 1.000153",6.923394744816711e-05
19,1,171,2.0099750301595106e-11,0.4629188659247817,0.023456492070926115,1.0183939567182704e-12,1.0001534092244797,0.00015339745848795384,0.0003067949169759077,30,"1.000153, 1.000153, 1.000148, 1.000148",6.803806396684537e-05
19,2,171,6.8333829595396206e-12,0.4673949934913859,0.023683301256083752,3.4625145655780105e-13,1.000160333885633,0.00016032103352937174,0.0003206420670587435,27,"1.000160, 1.000160, 1.000152, 1.000152",6.963236436141706e-05
19,3,171,1.4589388484647874e-11,0.4622854355749283,0.02342439561715706,7.392660749128279e-13,1.0001525421731083,0.00015253053973408883,0.00030506107946817767,29,"1.000153, 1.000153, 1.000148, 1.000148",6.801282181923574e-05
19,4,171,6.001638225942188e-12,0.4670818453285689,0.023667433772732487,3.0418395667608777e-13,1.0001637091684907,0.00016369576960713607,0.00032739153921427215,31,"1.000164, 1.000164, 1.000155, 1.000155",6.93193102739464e-05
20,0,190,1.3840435042883572e-12,0.4657407509422759,0.023599479381252137,7.022072094252814e-14,1.000159272284903,0.00015925960241934764,0.0003185192048386953,34,"1.000159, 1.000159, 1.000149, 1.000149",6.853073972823628e-05
20,1,190,2.1606132243430537e-11,0.46885414913562895,0.023757237911767305,1.09477996874906e-12,1.0001633310390174,0.00016331770195550916,0.0003266354039110183,30,"1.000163, 1.000163, 1.000154, 1.000154",7.012036220068274e-05
20,2,190,7.902643269395355e-13,0.46890957324943866,0.02376004629868326,4.006608322421192e-14,1.0001593162654876,0.00015930357599911574,0.0003186071519982315,30,"1.000159, 1.000159, 1.000156, 1.000156",6.981194354162143e-05
20,3,190,1.3534266621338728e-11,0.46887138251464644,0.023758111141717542,6.8578823845905e-13,1.0001594652338923,0.00015945252066343693,0.00031890504132687386,29,"1.000159, 1.000159, 1.000154, 1.000154",7.007349734340236e-05
20,4,190,5.096276380791152e-13,0.46993668476719996,0.023812090911564214,2.5723883259050916e-14,1.0001617974780777,0.00016178439027739232,0.00032356878055478464,30,"1.000162, 1.000162, 1.000154, 1.000154",7.038862554555468e-05
