t,H,Q2_re,Q2_im,generator_norm
220,np.float64(522.7794514075774),np.float64(-42.36880475352666),np.float64(71.58935334593937),np.float64(22.87189318081215)
221,np.float64(522.7794514075777),np.float64(-42.368804753526774),np.float64(71.58935334593951),np.float64(22.87036472900157)
222,np.float64(522.7794514075774),np.float64(-42.36880475352721),np.float64(71.58935334593946),np.float64(22.866473473753764)
223,np.float64(522.7794514075765),np.float64(-42.36880475352725),np.float64(71.58935334593913),np.float64(22.861837623750993)
224,np.float64(522.7794514075772),np.float64(-42.368804753527115),np.float64(71.58935334593916),np.float64(22.863076900012498)
225,np.float64(522.7794514075783),np.float64(-42.36880475352744),np.float64(71.58935334593929),np.float64(22.87199501210049)
226,np.float64(522.7794514075812),np.float64(-42.36880475352753),np.float64(71.58935334593947),np.float64(22.875193290919576)
227,np.float64(522.7794514075799),np.float64(-42.368804753527584),np.float64(71.58935334593946),np.float64(22.864663078553335)
228,np.float64(522.7794514075806),np.float64(-42.368804753527826),np.float64(71.58935334593937),np.float64(22.857714128968887)
229,np.float64(522.7794514075796),np.float64(-42.36880475352787),np.float64(71.58935334593922),np.float64(22.864724909111207)
230,np.float64(522.7794514075774),np.float64(-42.36880475352778),np.float64(71.58935334593912),np.float64(22.872060717524974)
231,np.float64(522.779451407577),np.float64(-42.36880475352763),np.float64(71.58935334593903),np.float64(22.873370313319615)
232,np.float64(522.7794514075763),np.float64(-42.36880475352761),np.float64(71.5893533459386),np.float64(22.87137968659352)
233,np.float64(522.7794514075762),np.float64(-42.36880475352733),np.float64(71.58935334593875),np.float64(22.866155266753836)
234,np.float64(522.7794514075722),np.float64(-42.36880475352686),np.float64(71.58935334593832),np.float64(22.861071698612225)
235,np.float64(522.7794514075704),np.float64(-42.36880475352616),np.float64(71.58935334593832),np.float64(22.86381470838493)
236,np.float64(522.7794514075692),np.float64(-42.36880475352593),np.float64(71.58935334593811),np.float64(22.872019874007155)
237,np.float64(522.7794514075681),np.float64(-42.368804753525524),np.float64(71.5893533459384),np.float64(22.87106817137666)
238,np.float64(522.7794514075674),np.float64(-42.36880475352507),np.float64(71.58935334593852),np.float64(22.859704357011687)
239,np.float64(522.7794514075672),np.float64(-42.36880475352538),np.float64(71.58935334593828),np.float64(22.85790178007251)
240,np.float64(522.7794514075674),np.float64(-42.36880475352537),np.float64(71.5893533459381),np.float64(22.868447470176044)
241,np.float64(522.7794514075681),np.float64(-42.36880475352549),np.float64(71.58935334593832),np.float64(22.87494175640699)
242,np.float64(522.7794514075673),np.float64(-42.36880475352516),np.float64(71.58935334593848),np.float64(22.87455436699546)
243,np.float64(522.7794514075676),np.float64(-42.368804753525254),np.float64(71.58935334593829),np.float64(22.87002558087967)
244,np.float64(522.7794514075665),np.float64(-42.36880475352491),np.float64(71.5893533459382),np.float64(22.862596434331216)
245,np.float64(522.7794514075672),np.float64(-42.368804753525296),np.float64(71.58935334593802),np.float64(22.85838369365544)
246,np.float64(522.7794514075667),np.float64(-42.36880475352526),np.float64(71.58935334593811),np.float64(22.86364714279132)
247,np.float64(522.7794514075656),np.float64(-42.3688047535254),np.float64(71.58935334593761),np.float64(22.87203059389088)
