label,step,C_memory,delta_C_memory_forward,actual_Ra,predicted_Ra_from_delta_C,level_only_predictor,slope_predictor,balance_error
linear_decrease_C,41,7.5e-07,-4.9999999999999945e-08,-3.048780487804381e-11,-3.0487804878048745e-11,7.5e-07,-4.9999999999999945e-08,4.937234281175884e-24
linear_decrease_C,42,7.000000000000001e-07,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,7.000000000000001e-07,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,43,6.500000000000001e-07,-5.000000000000037e-08,-3.0487804878050425e-11,-3.0487804878049004e-11,6.500000000000001e-07,-5.000000000000037e-08,-1.4217166778255163e-24
linear_decrease_C,44,5.999999999999998e-07,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,5.999999999999998e-07,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,45,5.499999999999998e-07,-4.9999999999999945e-08,-3.048780487804381e-11,-3.0487804878048745e-11,5.499999999999998e-07,-4.9999999999999945e-08,4.937234281175884e-24
linear_decrease_C,46,4.999999999999999e-07,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,4.999999999999999e-07,-4.9999999999999945e-08,-1.6802106192483375e-24
exponential_approach_C,1,5.836799999999999e-07,2.5730559999999994e-07,1.568936585365853e-10,1.5689365853658534e-10,5.836799999999999e-07,2.5730559999999994e-07,-2.5849394142282115e-26
exponential_approach_C,2,8.409855999999998e-07,2.3672115199999996e-07,1.4434216585365853e-10,1.443421658536585e-10,8.409855999999998e-07,2.3672115199999996e-07,2.5849394142282115e-26
exponential_approach_C,3,1.0777067519999998e-06,2.177834598399997e-07,1.3279479258536557e-10,1.3279479258536567e-10,1.0777067519999998e-06,2.177834598399997e-07,-1.0339757656912846e-25
exponential_approach_C,4,1.2954902118399995e-06,2.0036078305280018e-07,1.2217120917853667e-10,1.221712091785367e-10,1.2954902118399995e-06,2.0036078305280018e-07,-2.5849394142282115e-26
exponential_approach_C,5,1.4958509948927997e-06,1.843319204085755e-07,1.1239751244425338e-10,1.1239751244425334e-10,1.4958509948927997e-06,1.843319204085755e-07,3.877409121342317e-26
exponential_approach_C,6,1.6801829153013752e-06,1.6958536677589012e-07,1.0340571144871324e-10,1.0340571144871349e-10,1.6801829153013752e-06,1.6958536677589012e-07,-2.455692443516801e-25
exponential_approach_C,7,1.8497682820772653e-06,1.5601853743381838e-07,9.513325453281623e-11,9.513325453281609e-11,1.8497682820772653e-06,1.5601853743381838e-07,1.4217166778255163e-25
exponential_approach_C,8,2.0057868195110837e-06,1.4353705443911367e-07,8.752259417019206e-11,8.752259417019126e-11,2.0057868195110837e-06,1.4353705443911367e-07,8.013312184107456e-25
exponential_approach_C,9,2.1493238739501973e-06,1.3205409008398383e-07,8.052078663657573e-11,8.05207866365755e-11,2.1493238739501973e-06,1.3205409008398383e-07,2.3264454728053903e-25
exponential_approach_C,10,2.281377964034181e-06,1.214897628772656e-07,7.407912370564964e-11,7.407912370564976e-11,2.281377964034181e-06,1.214897628772656e-07,-1.1632227364026952e-25
exponential_approach_C,11,2.4028677269114468e-06,1.1177058184708445e-07,6.815279380919674e-11,6.815279380919783e-11,2.4028677269114468e-06,1.1177058184708445e-07,-1.0856745539758488e-24
exponential_approach_C,12,2.5146383087585312e-06,1.0282893529931744e-07,6.270057030446167e-11,6.270057030446185e-11,2.5146383087585312e-06,1.0282893529931744e-07,-1.809457589959748e-25
exponential_approach_C,13,2.6174672440578487e-06,9.460262047537192e-08,5.7684524680106454e-11,5.768452468010483e-11,2.6174672440578487e-06,9.460262047537192e-08,1.6220494824282027e-24
exponential_approach_C,14,2.7120698645332206e-06,8.703441083734232e-08,5.306976270569483e-11,5.306976270569654e-11,2.7120698645332206e-06,8.703441083734232e-08,-1.71252236192619e-24
exponential_approach_C,15,2.799104275370563e-06,8.007165797035489e-08,4.8824181689241624e-11,4.8824181689240784e-11,2.799104275370563e-06,8.007165797035489e-08,8.401053096241687e-25
exponential_approach_C,16,2.8791759333409178e-06,7.36659253327266e-08,4.491824715410097e-11,4.4918247154101584e-11,2.8791759333409178e-06,7.36659253327266e-08,-6.139231108792002e-25
exponential_approach_C,17,2.9528418586736444e-06,6.777265130610798e-08,4.132478738177448e-11,4.1324787381773156e-11,2.9528418586736444e-06,6.777265130610798e-08,1.3247814497919584e-24
exponential_approach_C,18,3.0206145099797524e-06,6.23508392016202e-08,3.801880439123001e-11,3.801880439123183e-11,3.0206145099797524e-06,6.23508392016202e-08,-1.822382287030889e-24
exponential_approach_C,19,3.0829653491813726e-06,5.736277206549018e-08,3.497730003993399e-11,3.497730003993304e-11,3.0829653491813726e-06,5.736277206549018e-08,9.499652347288677e-25
exponential_approach_C,20,3.1403281212468627e-06,5.2773750300250746e-08,3.217911603673821e-11,3.217911603673826e-11,3.1403281212468627e-06,5.2773750300250746e-08,-4.52364397489937e-26
exponential_approach_C,21,3.1931018715471135e-06,4.8551850276231296e-08,2.960478675380167e-11,2.960478675379957e-11,3.1931018715471135e-06,4.8551850276231296e-08,2.100263274060422e-24
exponential_approach_C,22,3.241653721823345e-06,4.4667702254132454e-08,2.7236403813494624e-11,2.72364038134954e-11,3.241653721823345e-06,4.4667702254132454e-08,-7.754818242684634e-25
exponential_approach_C,23,3.2863214240774772e-06,4.1094286073801705e-08,2.5057491508413995e-11,2.5057491508415672e-11,3.2863214240774772e-06,4.1094286073801705e-08,-1.6769794449805522e-24
exponential_approach_C,24,3.327415710151279e-06,3.780674318789762e-08,2.305289218774061e-11,2.305289218774245e-11,3.327415710151279e-06,3.780674318789762e-08,-1.8385381583698154e-24
exponential_approach_C,25,3.3652224533391766e-06,3.478220373286561e-08,2.1208660812724803e-11,2.1208660812722932e-11,3.3652224533391766e-06,3.478220373286561e-08,1.870849901047668e-24
exponential_approach_C,26,3.400004657072042e-06,3.199962743423683e-08,1.9511967947703643e-11,1.9511967947705384e-11,3.400004657072042e-06,3.199962743423683e-08,-1.7416029303362575e-24
exponential_approach_C,27,3.432004284506279e-06,2.9439657239497564e-08,1.7951010511892116e-11,1.795101051188876e-11,3.432004284506279e-06,2.9439657239497564e-08,3.35719006422889e-24
exponential_approach_C,28,3.4614439417457766e-06,2.7084484660337742e-08,1.651492967093413e-11,1.6514929670937648e-11,3.4614439417457766e-06,2.7084484660337742e-08,-3.518748777618153e-24
exponential_approach_C,29,3.4885284264061143e-06,2.4917725887511163e-08,1.519373529726681e-11,1.5193735297262904e-11,3.4885284264061143e-06,2.4917725887511163e-08,3.9064896897523846e-24
exponential_approach_C,30,3.5134461522936255e-06,2.2924307816509694e-08,1.3978236473482554e-11,1.3978236473481521e-11,3.5134461522936255e-06,2.2924307816509694e-08,1.032360178557392e-24
exponential_approach_C,31,3.536370460110135e-06,2.109036319118929e-08,1.2859977555602097e-11,1.2859977555603226e-11,3.536370460110135e-06,2.109036319118929e-08,-1.1292954065909499e-24
exponential_approach_C,32,3.5574608233013245e-06,1.9403134135894063e-08,1.1831179351156046e-11,1.1831179351154917e-11,3.5574608233013245e-06,1.9403134135894063e-08,1.1292954065909499e-24
exponential_approach_C,33,3.5768639574372185e-06,1.7850883405022453e-08,1.088468500305721e-11,1.0884685003062472e-11,3.5768639574372185e-06,1.7850883405022453e-08,-5.261967295088303e-24
exponential_approach_C,34,3.594714840842241e-06,1.6422812732620945e-08,1.001391020282375e-11,1.001391020281765e-11,3.594714840842241e-06,1.6422812732620945e-08,6.100457017578579e-24
exponential_approach_C,35,3.611137653574862e-06,1.510898771401083e-08,9.212797386590968e-12,9.212797386591968e-12,3.611137653574862e-06,1.510898771401083e-08,-1.0000484358795393e-24
