phase_model,correction,delta_max,closure_global_abs,closure_pair_rms,closure_pair_max,transmission_leakage,reflection_rate,max_remaining_delta,rms_remaining_delta
linear,affine,0.12,2.786426462336953e-17,7.707688631894085e-19,1.9335619358450275e-18,2.8571671608633772e-34,1.0,6.938893903907228e-17,3.3806313971584526e-17
linear,quadratic,0.12,2.7058660827548863e-17,7.223759199156791e-19,1.9457968134213242e-18,2.5298541462688438e-34,1.0,5.4860629927766524e-17,3.181103045340621e-17
linear,cubic,0.12,9.641912097149234e-18,8.113592988232553e-19,1.945609167265006e-18,3.2646102689175424e-34,1.0,9.71445146547012e-17,3.6136465067394417e-17
linear,full,0.12,0.0,3.458860741804455e-19,1.7294303709022274e-18,0.0,1.0,0.0,0.0
quadratic_area,none,0.12,0.04082495207704084,0.001097215445825967,0.002408421114829852,0.0007513747134612393,0.9992486252865387,0.12,0.054841458780593204
quadratic_area,constant,0.12,0.0019505031646726823,0.0007308074116555849,0.0015895547837837477,0.0003334580410977879,0.9996665419589023,0.0790923359877113,0.036525999318857846
quadratic_area,linear,0.12,0.005112122503941957,0.0002738834871899385,0.0005842516420488563,4.684593271490525e-05,0.999953154067285,0.029044708175971365,0.013689011947137677
quadratic_area,affine,0.12,8.31405688003503e-05,0.00018240799526969505,0.00038535244720190717,2.0787347661142465e-05,0.9999792126523387,0.01922838990004484,0.009118696093380983
quadratic_area,quadratic,0.12,3.575647958745752e-17,8.140194859554694e-19,1.866694831317065e-18,3.3428103132675515e-34,1.0,5.551115123125783e-17,3.656670788171969e-17
quadratic_area,cubic,0.12,1.0273559517771728e-17,5.147762575286383e-19,1.7504142781907683e-18,9.12808419811517e-35,1.0,4.163336342344337e-17,1.910820158792048e-17
quadratic_area,full,0.12,0.0,3.458860741804455e-19,1.7294303709022274e-18,0.0,1.0,0.0,0.0
cubic_high,none,0.12,0.03094602671616164,0.0009370683881532084,0.002408421114829852,0.0005477136491382941,0.9994522863508616,0.12,0.046822612928994964
cubic_high,constant,0.12,0.0017913596257367187,0.0007021531507393861,0.0017880486529487432,0.0003076488207150346,0.9996923511792849,0.08899359568269138,0.03508503915930653
cubic_high,linear,0.12,0.006210922578560269,0.0003742447090248876,0.0009347411528805513,8.741315423218328e-05,0.9999125868457678,0.04647867645827877,0.018699638079337215
cubic_high,affine,0.12,0.00019641455298291546,0.00028048187044569167,0.0006937362856680507,4.911584561768898e-05,0.9999508841543824,0.0344894705244896,0.014016804260028588
cubic_high,quadratic,0.12,5.431059014505551e-06,4.6631673613608254e-05,0.00010974221399880996,1.3585298009792388e-06,0.999998641470199,0.005477542994702796,0.002331120953379457
cubic_high,cubic,0.12,7.670969477185465e-18,5.501920996457403e-19,1.7347001447434047e-18,1.121710530692643e-34,1.0,5.551115123125783e-17,2.1182167317747663e-17
