tau,f
789,9.364290273947558e-16
790,9.704523485762193e-16
791,1.0057118926984034e-15
792,1.0422525791558321e-15
793,1.0801209599630649e-15
794,1.1193652779360704e-15
795,1.1600355295327204e-15
796,1.2021835280084994e-15
797,1.2458629692147688e-15
798,1.2911295000521694e-15
799,1.338040789865417e-15
800,1.386656603421004e-15
801,1.4370388768179694e-15
802,1.4892517975939716e-15
803,1.5433618848912999e-15
804,1.5994380754364907e-15
805,1.6575518112315002e-15
806,1.7177771299245054e-15
807,1.7801907596820552e-15
808,1.8448722171089505e-15
809,1.9119039079791165e-15
810,1.9813712319365737e-15
811,2.0533626935690696e-15
812,2.1279700121152612e-15
813,2.205288240785485e-15
814,2.2854158857497385e-15
815,2.3684550337717135e-15
816,2.4545114806565286e-15
817,2.543694867322449e-15
818,2.63611881829364e-15
819,2.731901087300401e-15
820,2.8311637068784996e-15
821,2.9340331448198253e-15
822,3.040640463567481e-15
823,3.1511214900339766e-15
824,3.265616984307127e-15
825,3.3842728237351447e-15
826,3.5072401857180296e-15
827,3.6346757412722876e-15
828,3.766741855609404e-15
829,3.903606792950553e-15
830,4.0454449338533856e-15
831,4.192436993835443e-15
832,4.344770256481986e-15
833,4.502638811282373e-15
834,4.666243800283907e-15
835,4.835793675867646e-15
836,5.011504464127551e-15
837,5.193600042141164e-15
838,5.382312423897794e-15
839,5.577882052667943e-15
840,5.780558111136242e-15
841,5.990598835072269e-15
842,6.208271845929779e-15
843,6.433854492430246e-15
844,6.6676341977117944e-15
845,6.9099088335505625e-15
846,7.160987094896618e-15
847,7.42118889604266e-15
848,7.690845774888013e-15
849,7.970301319103637e-15
850,8.259911602422044e-15
851,8.560045636991857e-15
852,8.871085847302922e-15
853,9.193428552794178e-15
854,9.527484478656963e-15
855,9.873679271681738e-15
856,1.0232454051010205e-14
857,1.060426596429299e-14
858,1.0989588771360366e-14
859,1.1388913452508165e-14
860,1.1802748825905543e-14
861,1.2231622205059382e-14
862,1.2676080063653838e-14
863,1.3136688734616032e-14
864,1.3614035133886865e-14
865,1.4108727505543292e-14
866,1.462139619741584e-14
867,1.515269446668587e-14
868,1.5703299308581337e-14
869,1.6273912323564596e-14
870,1.6865260605406584e-14
871,1.7478097675293056e-14
872,1.8113204437466622e-14
873,1.8771390172723185e-14
874,1.9453493577377493e-14
875,2.0160383822390722e-14
876,2.08929616692025e-14
877,2.1652160610981935e-14
878,2.243894806917156e-14
879,2.32543266212088e-14
880,2.4099335281428484e-14
881,2.497505082180989e-14
882,2.5882589147097035e-14
883,2.682310671725327e-14
884,2.779780201817829e-14
885,2.880791709369643e-14
886,2.985473912650276e-14
887,3.093960207591376e-14
888,3.206388837821027e-14
889,3.322903071800149e-14
890,3.44365138383539e-14
891,3.568787644877463e-14
892,3.698471317635361e-14
893,3.8328676599353693e-14
894,3.972147935406449e-14
895,4.1164896323533466e-14
896,4.266076689091896e-14
897,4.421099728574532e-14
898,4.5817563021424254e-14
899,4.748251140085389e-14
900,4.920796413673287e-14
901,5.099612004343805e-14
902,5.28492578547822e-14
903,5.476973911680466e-14
904,5.676001120094632e-14
905,5.882261042562247e-14
906,6.096016528527323e-14
907,6.317539980164552e-14
908,6.547113699983594e-14
909,6.785030249951356e-14
910,7.031592824802984e-14
911,7.287115638688677e-14
912,7.551924324459957e-14
913,7.826356350814915e-14
914,8.110761450562611e-14
915,8.405502067145802e-14
916,8.710953816676428e-14
917,9.02750596629476e-14
918,9.355561930768316e-14
919,9.695539786724181e-14
920,1.0047872804791677e-13
921,1.0413010002955598e-13
922,1.0791416717488912e-13
923,1.1183575197505411e-13
924,1.1589985218786551e-13
925,1.2011164720991285e-13
926,1.2447650468160615e-13
927,1.2899998732198852e-13
928,1.336878600276236e-13
929,1.385460972097653e-13
